,Sesso,Categoria,Sotto_categoria,Marca,Articolo,Prezzo,Prezzo_scontato,Materiali,Colore,Gruppo,Link,Acetato,Acrilico,Alpaca,Altre_fibre,Carta,Cashmere,Cotone,Cuoio,Elastan,Fibra_metallizzata,Lana,Lino,Lyocell,Modacrilico,Modal,Pelo_di_yak,Poliammide,Poliestere,Polipropilene,Polistirene,Poliuretano,Seta,Viscosa,Cachemire,Gomma,Lana_riciclata,Metallica,Modacrilica,Nylon,N.Fibre_Differenti,Coppie
2820,0,top,Magliette e Top,H&M,polo a maniche lunghe,17.99,Null,"Esterno: Cotone 97%, Elastan 3%,Colletto: Cotone 100%",Verde,2207,https://www2.hm.com/it_it/productpage.0999720008.html,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Cotone/Elastan
2821,0,top,Magliette e Top,H&M,top corto collo a lupetto,9.99,Null,"Poliestere 95%, Elastan 5%",Nero,2208,https://www2.hm.com/it_it/productpage.1010546007.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Elastan/Poliestere
2822,0,top,Magliette e Top,H&M,maglia oversize in jersey di misto modal,29.99,Null,"Modal 70%, Poliestere 30%",Grigio,2210,https://www2.hm.com/it_it/productpage.1042532001.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Modal/Poliestere
2823,0,top,Magliette e Top,H&M,maglia con sezioni aperte,19.99,9.99,"Poliestere 95%, Elastan 5%",Nero,2211,https://www2.hm.com/it_it/productpage.1021919001.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Elastan/Poliestere
2824,0,top,Magliette e Top,H&M,maglia con sezioni aperte,19.99,6.99,"Poliestere 95%, Elastan 5%",Rosso,2211,https://www2.hm.com/it_it/productpage.1021919001.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Elastan/Poliestere
2825,0,top,Magliette e Top,H&M,top con mezza cerniera,27.99,Null,"Poliestere 54%, Cotone 46%",Grigio,2216,https://www2.hm.com/it_it/productpage.1101643001.html,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Cotone/Poliestere
2826,0,top,Magliette e Top,H&M,top con schiena scoperta,17.99,Null,"Poliestere 88%, Elastan 12%",Giallo,2219,https://www2.hm.com/it_it/productpage.1108631001.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Elastan/Poliestere
2827,0,top,Magliette e Top,H&M,pullover in maglia a coste,19.99,Null,"Viscosa 50%, Acrilico 50%",Beige,2223,https://www2.hm.com/it_it/productpage.1080346001.html,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,Acrilico/Viscosa
2828,0,top,Magliette e Top,H&M,top lungo in pizzo con scollo a barca,29.99,19.99,"Poliestere 68%, Cotone 32%",Giallo,2224,https://www2.hm.com/it_it/productpage.1072613001.html,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Cotone/Poliestere
2829,0,top,Magliette e Top,H&M,felpa ricamata,34.99,Null,"Cotone 97%, Altre fibre 3%",Giallo,2225,https://www2.hm.com/it_it/productpage.1116019001.html,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Altre_fibre/Cotone
2830,0,top,Magliette e Top,H&M,maglia con collo a lupetto e paillettes,69.99,Null,"Poliestere 94%, Elastan 6%",Grigio,2226,https://www2.hm.com/it_it/productpage.1047952001.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Elastan/Poliestere
2831,0,top,Magliette e Top,H&M,pullover in maglia a coste,19.99,Null,"Viscosa 73%, Poliammide 27%",Giallo,2227,https://www2.hm.com/it_it/productpage.1038160001.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,Poliammide/Viscosa
2832,0,top,Magliette e Top,H&M,h&m+ top in chiffon increspato,24.99,9.99,"Esterno: Poliestere 100%,Parte elastica: Poliestere 90%, Elastan 10%",Bianco,2229,https://www2.hm.com/it_it/productpage.1102773001.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Elastan/Poliestere
2833,0,top,Magliette e Top,H&M,maglia in pizzo,39.99,17.99,"Poliammide 89%, Elastan 11%",Arancione,2233,https://www2.hm.com/it_it/productpage.1053257001.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Elastan/Poliammide
2834,0,top,Magliette e Top,H&M,top con colletto,19.99,Null,"Poliestere 99%, Elastan 1%",Beige,2237,https://www2.hm.com/it_it/productpage.1109933001.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Elastan/Poliestere
