,Unnamed: 0,Sesso,Categoria,Sotto_categoria,Marca,Articolo,Prezzo,Prezzo_scontato,Materiali,Colore,Gruppo,Link,Acrilico,Alluminio,Altre_fibre,Cashmere,Cotone,Cuoio,Lana,Lino,Lyocell,Modal,Poliammide,Poliestere,Polipropilene,Polistirene,Poliuretano,Seta,Viscosa,Cachemire,Gomma,Lana_riciclata,Metallica,Modacrilica,Nylon,N.Fibre_Differenti,Materiale
52,53,0,abiti,Vestiti,H&M,abito corto in satin,29.99,Null,Poliestere 100%,Nero,2097,https://www2.hm.com/it_it/productpage.1099498003.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
53,54,0,abiti,Vestiti,H&M,abito corto incrociato,24.99,Null,Viscosa 100%,Nero,2101,https://www2.hm.com/it_it/productpage.1113789001.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Viscosa
54,55,0,abiti,Vestiti,H&M,abito corto incrociato,24.99,Null,Viscosa 100%,Arancione,2101,https://www2.hm.com/it_it/productpage.1113789001.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Viscosa
55,56,0,abiti,Vestiti,H&M,abito con scollo a v,24.99,Null,Viscosa 100%,Nero,2105,https://www2.hm.com/it_it/productpage.1025692007.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Viscosa
56,57,0,abiti,Vestiti,H&M,abito con scollo a v,24.99,Null,Viscosa 100%,Rosso,2105,https://www2.hm.com/it_it/productpage.1025692007.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Viscosa
57,58,0,abiti,Vestiti,H&M,abito con scollo a v,24.99,Null,Viscosa 100%,Verde,2105,https://www2.hm.com/it_it/productpage.1025692007.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Viscosa
58,59,0,abiti,Vestiti,H&M,abito in chiffon da annodare davanti,24.99,Null,"Fodera interna: Poliestere 100%,Esterno: Poliestere 100%",Nero,2109,https://www2.hm.com/it_it/productpage.1109939001.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
59,60,0,abiti,Vestiti,H&M,abito in chiffon da annodare davanti,24.99,Null,"Esterno: Poliestere 100%,Fodera interna: Poliestere 100%",Rosso,2109,https://www2.hm.com/it_it/productpage.1109939001.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
60,61,0,abiti,Vestiti,H&M,abito con cintura da annodare,39.99,Null,Poliestere 100%,Grigio,2113,https://www2.hm.com/it_it/productpage.1086248003.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
61,62,0,abiti,Vestiti,H&M,abito con cintura da annodare,39.99,Null,Poliestere 100%,Blu,2113,https://www2.hm.com/it_it/productpage.1086248003.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
62,63,0,abiti,Vestiti,H&M,abito con scollo a v,29.99,Null,"Fodera interna: Poliestere 100%,Esterno: Poliestere 100%",Nero,2123,https://www2.hm.com/it_it/productpage.1073140005.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
63,64,0,abiti,Vestiti,H&M,abito voluminoso con incrocio,59.99,Null,Viscosa 100%,Nero,2130,https://www2.hm.com/it_it/productpage.1116619002.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Viscosa
64,65,0,abiti,Vestiti,H&M,abito voluminoso con incrocio,59.99,Null,Viscosa 100%,Blu,2130,https://www2.hm.com/it_it/productpage.1116619002.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Viscosa
65,66,0,abiti,Vestiti,H&M,abito oversize fantasia,49.99,Null,Viscosa 100%,Nero,2131,https://www2.hm.com/it_it/productpage.1110706002.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Viscosa
66,67,0,abiti,Vestiti,H&M,abito in felpa,17.99,Null,Cotone 100%,Marrone,2133,https://www2.hm.com/it_it/productpage.1083590004.html,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Cotone
