,index,Unnamed: 0,...1,Sesso,Categoria,Sotto_categoria,Marca,Articolo,Prezzo,Prezzo_scontato,Materiali,Colore,Gruppo,Link,Acetato,Acrilico,Alluminio,Alpaca,Altre_fibre,Canapa,Carta,Cashmere,Cotone,Cuoio,Elastan,Elastodiene,Elastomultiestere,Etilenvinilacetato,Fibra_di_acido_polilattico,Fibra_di_asclepiade,Fibra_metallizzata,Fibre_non_specificate,Lana,Lattice,Lino,Lyocell,Modacrilico,Modal,Mohair,Paglia,Pelo_di_yak,Piuma,Piumino,Poliammide,Policarbonato,Poliestere,Polietilene,Polipropilene,Polistirene,Poliuretano,Seta,Viscosa,Cachemire,Gomma,Lana_riciclata,Metallica,Modacrilica,Nylon,N.Fibre_Differenti
38,38,39,39,0,abiti,Vestiti,H&M,abito aderente,29.99,Null,"Cotone 54%, Elastan 43%, Poliestere 3%",Arancione,2048,https://www2.hm.com/it_it/productpage.1104645003.html,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
39,39,40,40,0,abiti,Vestiti,H&M,abito in maglia a coste,29.99,Null,"Poliestere 55%, Viscosa 23%, Poliammide 22%",Nero,2049,https://www2.hm.com/it_it/productpage.1009167008.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3
40,40,41,41,0,abiti,Vestiti,H&M,abito in maglia a coste,29.99,Null,"Poliestere 55%, Viscosa 23%, Poliammide 22%",Rosa,2049,https://www2.hm.com/it_it/productpage.1009167008.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3
41,41,42,42,0,abiti,Vestiti,H&M,abito in maglia a coste,29.99,Null,"Poliestere 55%, Viscosa 23%, Poliammide 22%",Grigio,2049,https://www2.hm.com/it_it/productpage.1009167008.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3
42,42,43,43,0,abiti,Vestiti,H&M,abito in maglia a coste,29.99,Null,"Poliestere 55%, Viscosa 23%, Poliammide 22%",Beige,2049,https://www2.hm.com/it_it/productpage.1009167008.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3
43,43,44,44,0,abiti,Vestiti,H&M,chemisier incrociato in satin,24.99,Null,Viscosa 100%,Nero,2050,https://www2.hm.com/it_it/productpage.1088102002.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
44,44,45,45,0,abiti,Vestiti,H&M,chemisier incrociato in satin,24.99,Null,Viscosa 100%,Verde,2050,https://www2.hm.com/it_it/productpage.1088102002.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
45,45,46,46,0,abiti,Vestiti,H&M,chemisier incrociato in satin,24.99,Null,Poliestere 100%,Nero,2050,https://www2.hm.com/it_it/productpage.1088102002.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
46,46,47,47,0,abiti,Vestiti,H&M,chemisier incrociato in satin,24.99,Null,Viscosa 100%,Arancione,2050,https://www2.hm.com/it_it/productpage.1088102002.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
47,47,48,48,0,abiti,Vestiti,H&M,chemisier incrociato in satin,24.99,Null,Poliestere 100%,Giallo,2050,https://www2.hm.com/it_it/productpage.1088102002.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
48,48,49,49,0,abiti,Vestiti,H&M,chemisier fantasia,19.99,Null,Viscosa 100%,Nero,2051,https://www2.hm.com/it_it/productpage.1005559017.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
49,49,50,50,0,abiti,Vestiti,H&M,chemisier fantasia,19.99,Null,Viscosa 100%,Nero,2051,https://www2.hm.com/it_it/productpage.1005559017.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
50,50,51,51,0,abiti,Vestiti,H&M,chemisier fantasia,19.99,Null,Viscosa 100%,Beige,2051,https://www2.hm.com/it_it/productpage.1005559017.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
51,51,52,52,0,abiti,Vestiti,H&M,chemisier fantasia,19.99,Null,Viscosa 100%,Rosso,2051,https://www2.hm.com/it_it/productpage.1005559017.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
52,52,53,53,0,abiti,Vestiti,H&M,abito con maniche a palloncino,39.99,Null,Cotone 100%,Rosso,2052,https://www2.hm.com/it_it/productpage.1087843002.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,53,54,54,0,abiti,Vestiti,H&M,abito con maniche a palloncino,39.99,Null,Cotone 100%,Nero,2052,https://www2.hm.com/it_it/productpage.1087843002.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,54,55,55,0,abiti,Vestiti,H&M,abito incrociato in satin,29.99,Null,"Poliestere 55%, Viscosa 45%",Nero,2053,https://www2.hm.com/it_it/productpage.1029017001.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
55,55,56,56,0,abiti,Vestiti,H&M,abito in denim con colletto,34.99,Null,Cotone 100%,Blu,2055,https://www2.hm.com/it_it/productpage.1071018001.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,56,57,57,0,abiti,Vestiti,H&M,jacquard-knit dress,29.99,Null,"Poliestere 52%, Acrilico 41%, Lana 4%, Elastan 3%",Nero,2056,https://www2.hm.com/it_it/productpage.1096762001.html,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
